,RR Rate,RR Rate Timestamp
0,516,0.57
1,515,0.63
2,514,0.68
3,512,0.74
4,511,0.8
5,507,0.85
6,506,0.91
7,504,0.96
8,500,1.02
9,498,1.08
10,495,1.13
11,495,1.19
12,494,1.24
13,493,1.3
14,492,1.36
15,489,1.41
16,488,1.47
17,487,1.52
18,484,1.58
19,484,1.64
20,484,1.69
21,484,1.75
22,485,1.8
23,487,1.86
24,487,1.92
25,489,1.97
26,490,2.03
27,491,2.08
28,494,2.14
29,495,2.2
30,499,2.25
31,501,2.31
32,503,2.36
33,506,2.42
34,508,2.48
35,510,2.53
36,510,2.59
37,510,2.64
38,507,2.7
39,505,2.76
40,500,2.81
41,498,2.87
42,496,2.92
43,495,2.98
44,495,3.04
45,497,3.09
46,499,3.15
47,500,3.2
48,502,3.26
49,503,3.32
50,505,3.37
51,505,3.43
52,505,3.48
53,504,3.54
54,504,3.6
55,503,3.65
56,504,3.71
57,505,3.76
58,507,3.82
59,509,3.88
60,512,3.93
61,512,3.99
62,511,4.04
63,505,4.1
64,500,4.16
65,491,4.21
66,488,4.27
67,486,4.32
68,488,4.38
69,491,4.44
70,496,4.49
71,497,4.55
72,496,4.6
73,487,4.66
74,479,4.72
75,461,4.77
76,451,4.83
77,442,4.88
78,429,4.94
79,426,5.0
80,429,5.05
81,434,5.11
82,442,5.16
83,461,5.22
84,471,5.28
85,487,5.33
86,493,5.39
87,496,5.44
88,497,5.5
89,496,5.56
90,493,5.61
91,491,5.67
92,490,5.72
93,488,5.78
94,488,5.84
95,487,5.89
96,488,5.95
97,488,6.0
98,488,6.06
99,489,6.12
100,489,6.17
101,490,6.23
102,490,6.28
103,490,6.34
104,490,6.4
105,489,6.45
106,488,6.51
107,488,6.56
108,488,6.62
109,488,6.68
110,489,6.73
111,490,6.79
112,491,6.84
113,494,6.9
114,496,6.96
115,499,7.01
116,501,7.07
117,503,7.12
118,507,7.18
119,509,7.24
120,513,7.29
121,516,7.35
122,518,7.4
123,521,7.46
124,523,7.52
125,526,7.57
126,527,7.63
127,529,7.68
128,532,7.74
129,534,7.8
130,536,7.85
131,537,7.91
132,538,7.96
133,538,8.02
134,537,8.08
135,536,8.13
136,535,8.19
137,533,8.24
138,530,8.3
139,529,8.36
140,527,8.41
141,526,8.47
142,526,8.52
143,526,8.58
144,526,8.64
145,525,8.69
146,525,8.75
147,525,8.8
148,523,8.86
149,522,8.92
150,518,8.97
151,516,9.03
152,514,9.08
153,511,9.14
154,510,9.2
155,507,9.25
156,506,9.31
157,504,9.36
158,501,9.42
159,499,9.48
160,496,9.53
161,494,9.59
162,493,9.64
163,492,9.7
164,492,9.76
165,493,9.81
166,494,9.87
167,495,9.92
168,496,9.98
169,496,10.04
170,492,10.09
171,489,10.15
172,485,10.2
173,477,10.26
174,474,10.32
175,472,10.37
176,474,10.43
177,477,10.48
178,485,10.54
179,489,10.6
180,494,10.65
181,494,10.71
182,492,10.76
183,487,10.82
184,485,10.88
185,484,10.93
186,487,10.99
187,491,11.04
188,504,11.1
189,511,11.16
190,526,11.21
191,533,11.27
192,539,11.32
193,550,11.38
194,554,11.44
195,562,11.49
196,566,11.55
197,570,11.6
198,580,11.66
199,585,11.72
200,596,11.77
201,601,11.83
202,605,11.88
203,608,11.94
204,607,12.0
205,600,12.05
206,595,12.11
207,588,12.16
208,572,12.22
209,565,12.28
210,552,12.33
211,547,12.39
212,544,12.44
213,542,12.5
214,542,12.56
215,544,12.61
216,546,12.67
217,548,12.72
218,549,12.78
219,549,12.83
220,545,12.89
221,542,12.95
222,539,13.0
223,533,13.06
224,532,13.11
225,532,13.17
226,533,13.23
227,534,13.28
228,535,13.34
229,535,13.39
230,534,13.45
231,533,13.51
232,531,13.56
233,528,13.62
234,526,13.68
235,523,13.73
236,522,13.79
237,521,13.84
238,520,13.9
239,520,13.96
240,519,14.01
241,519,14.07
242,518,14.12
243,517,14.18
244,516,14.24
245,515,14.29
246,514,14.35
247,514,14.4
248,516,14.46
249,517,14.52
250,519,14.57
251,521,14.63
252,523,14.68
253,525,14.74
254,527,14.8
255,529,14.85
256,531,14.91
257,533,14.96
258,538,15.02
259,542,15.08
260,549,15.13
261,553,15.19
262,557,15.24
263,565,15.3
264,568,15.36
265,575,15.41
266,578,15.47
267,582,15.52
268,589,15.58
269,592,15.64
270,600,15.69
271,603,15.75
272,606,15.8
273,609,15.86
274,610,15.92
275,610,15.97
276,609,16.03
277,608,16.08
278,606,16.14
279,606,16.2
280,606,16.25
281,605,16.31
282,605,16.36
283,604,16.42
284,603,16.48
285,598,16.53
286,595,16.59
287,592,16.64
288,End_session,16.65
289,Start_session,0.0
290,512,0.52
291,512,0.57
292,512,0.63
293,512,0.68
294,512,0.74
295,512,0.8
296,512,0.85
297,512,0.91
298,512,0.96
299,512,1.02
300,512,1.08
301,512,1.13
302,512,1.19
303,512,1.24
304,512,1.3
305,512,1.36
306,512,1.41
307,512,1.47
308,512,1.52
309,512,1.58
310,512,1.64
311,512,1.69
312,512,1.75
313,512,1.8
314,512,1.86
315,512,1.92
316,512,1.97
317,512,2.03
318,512,2.08
319,512,2.14
320,512,2.2
321,512,2.25
322,512,2.31
323,512,2.36
324,512,2.42
325,512,2.48
326,512,2.54
327,512,2.59
328,512,2.65
329,512,2.71
330,512,2.76
331,512,2.82
332,512,2.87
333,512,2.93
334,512,2.99
335,512,3.04
336,512,3.1
337,512,3.15
338,512,3.21
339,512,3.27
340,512,3.32
341,512,3.38
342,512,3.43
343,512,3.49
344,512,3.55
345,512,3.6
346,512,3.66
347,512,3.71
348,512,3.77
349,512,3.83
350,512,3.88
351,512,3.94
352,512,3.99
353,512,4.05
354,512,4.11
355,512,4.16
356,512,4.22
357,512,4.27
358,512,4.33
359,512,4.39
360,512,4.44
361,512,4.5
362,512,4.55
363,512,4.61
364,512,4.66
365,512,4.72
366,512,4.77
367,512,4.83
368,512,4.88
369,512,4.94
370,512,5.0
371,512,5.05
372,512,5.11
373,512,5.16
374,512,5.22
375,512,5.28
376,512,5.33
377,512,5.39
378,512,5.44
379,512,5.5
380,512,5.56
381,512,5.62
382,512,5.67
383,512,5.73
384,512,5.79
385,512,5.84
386,512,5.9
387,512,5.95
388,512,6.01
389,512,6.07
390,512,6.12
391,512,6.18
392,512,6.23
393,512,6.29
394,512,6.35
395,512,6.4
396,512,6.46
397,512,6.51
398,512,6.57
399,512,6.63
400,512,6.68
401,512,6.74
402,512,6.79
403,512,6.85
404,512,6.91
405,512,6.96
406,512,7.02
407,512,7.07
408,512,7.13
409,511,7.19
410,511,7.24
411,512,7.3
412,512,7.35
413,512,7.41
414,512,7.47
415,512,7.52
416,512,7.58
417,512,7.63
418,512,7.69
419,512,7.75
420,512,7.8
421,512,7.86
422,511,7.91
423,511,7.97
424,512,8.03
425,512,8.08
426,512,8.14
427,512,8.19
428,512,8.25
429,512,8.31
430,512,8.36
431,512,8.42
432,512,8.47
433,512,8.53
434,512,8.59
435,511,8.64
436,511,8.7
437,511,8.75
438,511,8.81
439,511,8.87
440,512,8.92
441,512,8.98
442,512,9.03
443,512,9.09
444,512,9.15
445,512,9.2
446,512,9.26
447,512,9.31
448,511,9.37
449,511,9.43
450,511,9.48
451,511,9.54
452,511,9.59
453,512,9.65
454,512,9.7
455,512,9.76
456,512,9.81
457,512,9.87
458,512,9.93
459,512,9.98
460,512,10.04
461,512,10.09
462,512,10.15
463,512,10.21
464,512,10.26
465,512,10.32
466,512,10.37
467,512,10.43
468,512,10.49
469,512,10.54
470,512,10.6
471,512,10.65
472,512,10.71
473,512,10.77
474,512,10.82
475,512,10.88
476,512,10.93
477,512,10.99
478,512,11.05
479,512,11.1
480,512,11.16
481,512,11.21
482,512,11.27
483,512,11.33
484,512,11.38
485,512,11.44
486,512,11.49
487,512,11.55
488,512,11.61
489,512,11.67
490,512,11.72
491,512,11.78
492,512,11.83
493,512,11.89
494,512,11.95
495,512,12.0
496,512,12.06
497,512,12.11
498,512,12.17
499,512,12.23
500,512,12.28
501,512,12.34
502,512,12.39
503,512,12.45
504,512,12.51
505,512,12.56
506,512,12.62
507,512,12.68
508,512,12.73
509,512,12.79
510,512,12.84
511,512,12.9
512,512,12.95
513,512,13.01
514,512,13.07
515,512,13.12
516,512,13.18
517,512,13.23
518,512,13.29
519,512,13.35
520,512,13.4
521,512,13.46
522,512,13.51
523,512,13.57
524,512,13.63
525,512,13.68
526,512,13.74
527,512,13.79
528,512,13.85
529,512,13.91
530,512,13.96
531,512,14.02
532,512,14.07
533,512,14.13
534,512,14.19
535,512,14.24
536,512,14.3
537,512,14.35
538,512,14.41
539,512,14.47
540,512,14.52
541,512,14.58
542,512,14.63
543,512,14.69
544,512,14.74
545,512,14.8
546,512,14.85
547,512,14.91
548,511,14.97
549,511,15.02
550,511,15.08
551,512,15.13
552,512,15.19
553,512,15.25
554,512,15.3
555,512,15.36
556,512,15.41
557,512,15.47
558,512,15.53
559,512,15.58
560,512,15.64
561,512,15.7
562,512,15.75
563,512,15.81
564,512,15.87
565,512,15.92
566,512,15.98
567,512,16.03
568,512,16.09
569,512,16.15
570,512,16.2
571,512,16.26
572,512,16.31
573,512,16.37
574,512,16.43
575,512,16.48
576,512,16.54
577,512,16.59
578,512,16.65
579,512,16.7
580,512,16.76
581,512,16.81
582,512,16.87
583,512,16.93
584,512,16.98
585,512,17.04
586,512,17.09
587,512,17.15
588,512,17.21
589,512,17.26
590,512,17.32
591,512,17.37
592,512,17.43
593,512,17.49
594,512,17.54
595,512,17.6
596,512,17.66
597,512,17.72
598,512,17.77
599,512,17.83
600,512,17.88
601,512,17.94
602,512,17.99
603,512,18.05
604,512,18.11
605,512,18.16
606,512,18.22
607,512,18.27
608,512,18.33
609,512,18.39
610,512,18.44
611,512,18.5
612,512,18.55
613,512,18.61
614,512,18.67
615,512,18.72
616,512,18.78
617,512,18.83
618,512,18.89
619,512,18.95
620,512,19.0
621,512,19.06
622,512,19.11
623,512,19.17
624,512,19.23
625,512,19.28
626,512,19.34
627,512,19.39
628,512,19.45
629,512,19.51
630,512,19.56
631,512,19.62
632,512,19.68
633,512,19.73
634,512,19.79
635,512,19.84
636,512,19.9
637,512,19.95
638,512,20.01
639,512,20.07
640,512,20.12
641,512,20.18
642,512,20.23
643,512,20.29
644,512,20.35
645,512,20.4
646,512,20.46
647,512,20.51
648,512,20.57
649,512,20.63
650,512,20.68
651,512,20.74
652,511,20.79
653,511,20.85
654,511,20.91
655,511,20.96
656,512,21.02
657,512,21.07
658,512,21.13
659,512,21.19
660,512,21.24
661,512,21.3
662,512,21.35
663,512,21.41
664,512,21.47
665,512,21.52
666,512,21.58
667,512,21.63
668,512,21.69
669,512,21.74
670,512,21.8
671,511,21.85
672,511,21.91
673,511,21.97
674,512,22.02
675,512,22.08
676,512,22.13
677,512,22.19
678,512,22.25
679,512,22.3
680,512,22.36
681,512,22.41
682,511,22.47
683,511,22.53
684,511,22.58
685,511,22.64
686,511,22.7
687,512,22.75
688,512,22.81
689,512,22.87
690,512,22.92
691,512,22.98
692,512,23.03
693,512,23.09
694,512,23.15
695,512,23.2
696,512,23.26
697,512,23.31
698,512,23.37
699,512,23.43
700,512,23.48
701,512,23.54
702,512,23.59
703,512,23.65
704,End_session,23.34
705,Start_session,0.0
706,End_session,86.27
707,Start_session,0.0
708,End_session,1.55
